pickup_datetime,dropoff_datetime,trip_duration,trip_distance,total_amount,max_precipitation,avg_temperature
2016-06-25 15:50:12,2016-06-25 16:46:56,3404.0,17.66,65.34,0.0,26.95
2016-06-23 11:01:38,2016-06-23 11:57:51,3373.0,17.5,72.89,0.0,15.9
2016-05-05 05:03:21,2016-05-05 05:34:48,1887.0,18.1,58.34,0.0,8.42
2016-05-01 11:26:38,2016-05-01 12:05:00,2302.0,17.3,72.92,1.62,7.04
2016-05-15 12:42:54,2016-05-15 13:44:44,3710.0,17.1,60.34,0.0,9.214285714285714
2016-05-29 17:02:54,2016-05-29 17:39:17,2183.0,17.18,70.01,0.0,23.5
2016-06-29 13:37:20,2016-06-29 14:28:46,3086.0,16.7,69.99,0.0,28.6
2016-06-29 04:32:12,2016-06-29 04:59:15,1623.0,17.56,58.34,0.0,20.733333333333334
2016-06-03 14:31:04,2016-06-03 15:25:52,3288.0,14.41,68.34,0.0,8.644444444444444
2016-06-14 13:57:54,2016-06-14 14:44:39,2805.0,16.58,70.01,0.0,21.2
2016-06-29 14:18:58,2016-06-29 15:20:11,3673.0,15.91,70.01,0.0,23.983333333333334
2016-06-25 11:32:32,2016-06-25 12:15:24,2572.0,17.7,58.34,0.0,22.516666666666666
2016-05-09 11:31:44,2016-05-09 12:09:56,2292.0,17.73,58.34,0.0,21.4
2016-05-22 13:54:22,2016-05-22 14:46:40,3138.0,18.15,68.64,0.0,13.533333333333333
2016-06-23 12:18:57,2016-06-23 13:08:51,2994.0,16.91,58.34,0.0,21.2
2016-06-16 05:21:13,2016-06-16 05:53:52,1959.0,0.0,72.89,0.29,6.3
2016-05-26 05:43:31,2016-05-26 06:15:08,1897.0,18.1,72.94,0.0,20.816666666666666
2016-06-05 18:51:30,2016-06-05 19:38:42,2832.0,17.58,58.34,45.6,12.814285714285715
2016-06-11 16:01:29,2016-06-11 16:58:23,3414.0,19.58,52.8,0.0,29.266666666666666
2016-06-15 10:23:24,2016-06-15 11:15:35,3131.0,16.8,58.34,0.0,25.833333333333332
2016-06-15 11:15:25,2016-06-15 12:11:24,3359.0,17.72,72.92,0.0,26.866666666666667
2016-06-01 06:24:10,2016-06-01 06:55:19,1869.0,17.4,69.99,0.0,21.866666666666667
2016-06-27 15:55:10,2016-06-27 17:07:05,4315.0,14.7,58.34,0.0,18.5
2016-05-10 07:21:37,2016-05-10 08:07:17,2740.0,17.8,69.99,0.0,12.516666666666667
2016-05-30 08:07:56,2016-05-30 08:36:50,1734.0,17.9,58.34,0.42,5.2125
2016-05-22 16:09:20,2016-05-22 17:07:39,3499.0,21.72,70.01,0.0,12.316666666666666
2016-05-12 13:39:37,2016-05-12 14:30:16,3039.0,15.8,69.99,0.0,22.56
2016-06-23 05:11:37,2016-06-23 05:43:04,1887.0,18.3,63.35,0.0,14.266666666666667
2016-06-18 12:16:00,2016-06-18 12:59:59,2639.0,17.1,68.34,0.0,19.066666666666666
2016-06-18 22:03:10,2016-06-18 22:44:09,2459.0,17.5,69.99,0.0,15.2
2016-05-21 15:26:58,2016-05-21 16:09:36,2558.0,17.2,72.89,0.0,16.85
2016-05-01 14:48:40,2016-05-01 15:51:59,3799.0,17.86,70.01,0.29,6.044444444444444
2016-06-20 07:48:41,2016-06-20 08:38:30,2989.0,16.95,68.34,0.0,21.483333333333334
2016-06-14 06:43:40,2016-06-14 07:16:23,1963.0,17.26,58.34,0.0,13.9
2016-05-13 15:28:44,2016-05-13 17:20:41,6717.0,17.5,58.34,2.99,8.38
2016-05-08 10:48:03,2016-05-08 11:17:51,1788.0,17.82,70.01,0.0,9.954545454545455
2016-06-09 07:17:37,2016-06-09 08:06:36,2939.0,21.9,68.34,0.0,11.914285714285715
2016-06-30 17:20:29,2016-06-30 18:23:23,3774.0,0.0,87.84,0.0,22.316666666666666
